week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2019-04-06","2019-03-30","04000US26","Michigan",6682,71366,4268378,1.67,1554523200000,"April 6th, 2019","04000US26","Michigan"
"2019-03-30","2019-03-23","04000US08","Colorado",1483,20354,2588607,0.79,1553918400000,"March 30th, 2019","04000US08","Colorado"
"2019-03-30","2019-03-23","04000US12","Florida",5304,34577,8445378,0.41,1553918400000,"March 30th, 2019","04000US12","Florida"
"2019-03-30","2019-03-23","04000US13","Georgia",4171,23944,4290407,0.56,1553918400000,"March 30th, 2019","04000US13","Georgia"
"2019-03-30","2019-03-23","04000US20","Kansas",1490,9195,1351006,0.68,1553918400000,"March 30th, 2019","04000US20","Kansas"
"2019-03-30","2019-03-23","04000US26","Michigan",4737,70441,4268378,1.65,1553918400000,"March 30th, 2019","04000US26","Michigan"
"2019-03-23","2019-03-16","04000US08","Colorado",1550,22886,2588607,0.88,1553313600000,"March 23rd, 2019","04000US08","Colorado"
"2019-03-23","2019-03-16","04000US12","Florida",5353,34930,8445378,0.41,1553313600000,"March 23rd, 2019","04000US12","Florida"
"2019-03-23","2019-03-16","04000US13","Georgia",4182,23918,4290407,0.56,1553313600000,"March 23rd, 2019","04000US13","Georgia"
"2019-03-23","2019-03-16","04000US20","Kansas",1271,10886,1351006,0.81,1553313600000,"March 23rd, 2019","04000US20","Kansas"
"2019-03-23","2019-03-16","04000US26","Michigan",4887,78958,4268378,1.85,1553313600000,"March 23rd, 2019","04000US26","Michigan"
"2019-03-16","2019-03-09","04000US08","Colorado",1506,21189,2588607,0.82,1552708800000,"March 16th, 2019","04000US08","Colorado"
"2019-03-16","2019-03-09","04000US12","Florida",5801,34751,8445378,0.41,1552708800000,"March 16th, 2019","04000US12","Florida"
"2019-03-16","2019-03-09","04000US13","Georgia",4387,24682,4290407,0.58,1552708800000,"March 16th, 2019","04000US13","Georgia"
"2019-03-16","2019-03-09","04000US20","Kansas",1648,11193,1351006,0.83,1552708800000,"March 16th, 2019","04000US20","Kansas"
"2019-03-16","2019-03-09","04000US26","Michigan",5156,76084,4268378,1.78,1552708800000,"March 16th, 2019","04000US26","Michigan"
"2019-03-09","2019-03-02","04000US08","Colorado",1891,23142,2588607,0.89,1552107600000,"March 9th, 2019","04000US08","Colorado"
"2019-03-09","2019-03-02","04000US12","Florida",6204,35361,8445378,0.42,1552107600000,"March 9th, 2019","04000US12","Florida"
"2019-03-09","2019-03-02","04000US13","Georgia",5166,25281,4290407,0.59,1552107600000,"March 9th, 2019","04000US13","Georgia"
"2019-03-09","2019-03-02","04000US20","Kansas",1583,11479,1351006,0.85,1552107600000,"March 9th, 2019","04000US20","Kansas"
"2019-03-09","2019-03-02","04000US26","Michigan",5927,82469,4268378,1.93,1552107600000,"March 9th, 2019","04000US26","Michigan"
"2019-03-02","2019-02-23","04000US08","Colorado",1719,22043,2588607,0.85,1551502800000,"March 2nd, 2019","04000US08","Colorado"
"2019-03-02","2019-02-23","04000US12","Florida",5675,36032,8445378,0.43,1551502800000,"March 2nd, 2019","04000US12","Florida"
"2019-03-02","2019-02-23","04000US13","Georgia",5781,26703,4290407,0.62,1551502800000,"March 2nd, 2019","04000US13","Georgia"
"2019-03-02","2019-02-23","04000US20","Kansas",1709,12141,1351006,0.9,1551502800000,"March 2nd, 2019","04000US20","Kansas"
"2019-03-02","2019-02-23","04000US26","Michigan",5485,78068,4268378,1.83,1551502800000,"March 2nd, 2019","04000US26","Michigan"
"2019-02-23","2019-02-16","04000US08","Colorado",1925,23469,2588607,0.91,1550898000000,"February 23rd, 2019","04000US08","Colorado"
"2019-02-23","2019-02-16","04000US12","Florida",5685,38228,8445378,0.45,1550898000000,"February 23rd, 2019","04000US12","Florida"
"2019-02-23","2019-02-16","04000US13","Georgia",5120,27208,4290407,0.63,1550898000000,"February 23rd, 2019","04000US13","Georgia"
"2019-02-23","2019-02-16","04000US20","Kansas",1803,11800,1351006,0.87,1550898000000,"February 23rd, 2019","04000US20","Kansas"
"2019-02-23","2019-02-16","04000US26","Michigan",6241,87042,4268378,2.04,1550898000000,"February 23rd, 2019","04000US26","Michigan"
"2019-02-16","2019-02-09","04000US08","Colorado",1813,22326,2588607,0.86,1550293200000,"February 16th, 2019","04000US08","Colorado"
"2019-02-16","2019-02-09","04000US12","Florida",6185,36628,8445378,0.43,1550293200000,"February 16th, 2019","04000US12","Florida"
"2019-02-16","2019-02-09","04000US13","Georgia",5711,26530,4290407,0.62,1550293200000,"February 16th, 2019","04000US13","Georgia"
"2019-02-16","2019-02-09","04000US20","Kansas",1610,12274,1351006,0.91,1550293200000,"February 16th, 2019","04000US20","Kansas"
"2019-02-16","2019-02-09","04000US26","Michigan",6400,81774,4268378,1.92,1550293200000,"February 16th, 2019","04000US26","Michigan"
"2019-02-09","2019-02-02","04000US08","Colorado",2210,23442,2588607,0.91,1549688400000,"February 9th, 2019","04000US08","Colorado"
"2019-02-09","2019-02-02","04000US12","Florida",7049,38218,8445378,0.45,1549688400000,"February 9th, 2019","04000US12","Florida"
"2019-02-09","2019-02-02","04000US13","Georgia",5575,27142,4290407,0.63,1549688400000,"February 9th, 2019","04000US13","Georgia"
"2019-02-09","2019-02-02","04000US20","Kansas",1766,12281,1351006,0.91,1549688400000,"February 9th, 2019","04000US20","Kansas"
"2019-02-09","2019-02-02","04000US26","Michigan",10373,88223,4268378,2.07,1549688400000,"February 9th, 2019","04000US26","Michigan"
"2019-02-02","2019-01-26","04000US08","Colorado",2275,22589,2588607,0.87,1549083600000,"February 2nd, 2019","04000US08","Colorado"
"2019-02-02","2019-01-26","04000US12","Florida",7510,37502,8445378,0.44,1549083600000,"February 2nd, 2019","04000US12","Florida"
"2019-02-02","2019-01-26","04000US13","Georgia",5483,27875,4290407,0.65,1549083600000,"February 2nd, 2019","04000US13","Georgia"
